CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
452,Spain,Female,68,7,234120.81,3,1,0,158647.15,1
785,Spain,Female,35,3,239938.03,2,1,1,97780.0,1
698,Spain,Male,30,4,242242.03,3,0,0,191244.63,1
620,Spain,Female,62,2,156410.41,1,1,0,197230.39,1
456,France,Female,41,4,96177.91,1,0,1,103689.12,1
421,Germany,Female,68,2,33288.28,4,0,0,174281.57,1
538,Germany,Male,40,4,96387.0,2,1,0,10906.35,1
370,Spain,Male,29,10,235738.86,3,0,1,22664.56,1
452,Germany,Male,66,4,222449.27,2,0,0,14253.99,1
471,Germany,Female,47,5,130914.92,2,1,1,156900.97,1
816,Germany,Female,48,8,134251.82,3,1,0,25158.03,1
564,Spain,Male,45,0,77230.09,1,1,0,13239.6,1
680,Spain,Male,39,9,113626.97,2,0,0,38009.57,1
808,Germany,Female,61,5,178612.12,4,0,0,68196.01,1
437,Germany,Female,45,0,100607.68,2,1,1,98293.13,0
722,Spain,Male,30,5,46995.97,1,1,1,22426.62,1
449,France,Female,42,1,135214.89,4,1,1,104806.62,1
709,Germany,Female,61,7,56334.23,4,1,0,57131.68,1
501,France,Female,68,10,243571.89,4,1,0,62130.58,1
480,Germany,Female,63,2,97584.98,4,1,0,166161.43,1
499,France,Female,24,9,227416.24,3,1,0,197515.48,1
658,France,Female,62,5,56388.5,3,0,1,98134.17,1
607,France,Female,23,5,47302.25,3,1,0,71136.43,1
693,Spain,Male,41,3,154225.28,4,1,1,186975.15,1
841,France,Male,36,4,194844.77,1,1,0,105085.2,1
763,France,Female,36,1,141691.14,2,1,0,148767.18,1
643,France,Female,53,9,57448.92,4,0,1,88610.61,1
735,Germany,Female,68,9,9473.59,1,1,1,48484.23,1
541,France,Male,26,7,154572.21,2,0,1,134428.17,1
793,Germany,Male,65,9,32759.31,4,0,1,136320.1,1
626,France,Female,53,6,85794.1,2,0,0,97434.93,1
510,France,Male,55,9,168946.19,3,1,1,61290.43,1
809,Spain,Female,57,5,24505.86,3,1,1,168044.56,0
663,Germany,Female,46,6,31812.87,3,0,0,62310.44,1
371,France,Female,41,0,15416.55,1,0,0,135214.56,1
602,Germany,Female,65,4,249019.78,3,1,0,82957.27,1
585,Germany,Female,22,6,96769.19,1,0,0,99771.33,1
694,Spain,Female,70,0,226448.79,3,0,1,50166.51,1
